TransactionAmount,TransactionType,Location,Channel,CustomerAge,CustomerOccupation,TransactionDuration,AccountBalance,cluster
425.34,Credit,Kansas City,Online,69,Retired,121,3907.54,1
424.56,Debit,Omaha,Online,51,Engineer,264,5183.85,0
85.43,Debit,Virginia Beach,Branch,67,Doctor,145,14904.9,2
169.5,Debit,San Diego,Branch,28,Student,142,918.88,1
104.63,Debit,Omaha,ATM,62,Retired,90,4477.78,0
316.95,Debit,Mesa,Branch,25,Student,83,1324.03,1
60.54,Credit,Columbus,Branch,57,Retired,52,3534.93,1
292.56,Credit,Dallas,Branch,68,Retired,61,4638.37,0
386.52,Debit,Indianapolis,Branch,48,Engineer,28,5630.61,0
112.07,Debit,Kansas City,Branch,23,Student,51,930.3,1
568.52,Debit,Indianapolis,ATM,46,Engineer,152,5499.91,0
349.64,Debit,Las Vegas,Online,48,Engineer,226,6651.62,0
601.4,Credit,Philadelphia,Branch,56,Engineer,104,8458.29,0
5.77,Debit,Charlotte,Online,50,Doctor,124,13988.12,2
201.33,Credit,Nashville,Branch,42,Engineer,186,2585.07,1
298.42,Debit,Indianapolis,Branch,56,Retired,225,3014.75,1
521.06,Debit,Albuquerque,Branch,25,Student,128,1951.42,1
117.28,Credit,Austin,Online,60,Engineer,16,3665.77,1
189.12,Credit,Indianapolis,Branch,32,Engineer,103,977.01,1
133.55,Debit,Atlanta,ATM,44,Engineer,220,3846.28,1
143.21,Debit,Dallas,Online,35,Engineer,135,6374.82,0
24.77,Debit,Boston,ATM,62,Retired,55,5866.01,0
233.92,Credit,Jacksonville,Online,26,Student,280,6537.62,0
232.12,Debit,Omaha,ATM,37,Engineer,51,6689.87,0
162.63,Debit,Kansas City,Online,22,Student,113,634.17,1
91.53,Debit,Milwaukee,Branch,44,Doctor,69,14676.05,2
120.29,Debit,Miami,Branch,19,Student,77,1362.39,1
174.25,Debit,Seattle,Online,50,Doctor,67,10528.34,2
183.71,Debit,Denver,ATM,38,Engineer,102,552.52,1
345.39,Credit,Phoenix,Online,58,Engineer,80,6451.96,0
259.91,Debit,Denver,Online,49,Doctor,170,7176.86,0
154.71,Debit,San Diego,Online,34,Doctor,157,1523.72,1
24.56,Debit,Mesa,Branch,64,Doctor,69,9869.93,2
568.07,Debit,Washington,ATM,48,Doctor,115,10556.81,2
9.61,Credit,San Diego,Online,58,Doctor,179,12883.91,2
392.96,Debit,Kansas City,Online,24,Student,100,791.65,1
716.93,Credit,Milwaukee,Online,60,Retired,34,4064.02,1
230.66,Debit,Houston,Branch,21,Student,135,618.05,1
442.12,Debit,Los Angeles,Online,19,Student,260,1375.8,1
644.17,Debit,San Antonio,ATM,29,Engineer,72,1143.52,1
508.68,Credit,Mesa,Branch,51,Engineer,127,7708.41,0
858.63,Credit,San Francisco,Branch,27,Student,185,1872.96,1
25.36,Debit,Louisville,ATM,57,Engineer,78,201.04,1
147.62,Debit,Charlotte,Branch,71,Retired,133,2115.8,1
115.02,Debit,San Antonio,Branch,37,Doctor,175,7643.66,0
383.37,Debit,Fort Worth,Branch,30,Engineer,24,8901.93,0
98.54,Credit,El Paso,Online,20,Student,167,9383.43,2
83.24,Credit,Fort Worth,Branch,55,Doctor,164,1181.31,1
196.16,Debit,Virginia Beach,Branch,27,Engineer,146,9418.86,2
129.94,Debit,Las Vegas,ATM,32,Engineer,235,7954.92,0
306.9,Debit,Colorado Springs,Online,46,Engineer,51,9418.08,2
114.98,Debit,Seattle,Online,59,Retired,80,6144.68,0
756.59,Debit,Sacramento,Branch,27,Student,17,420.65,1
503.76,Debit,Los Angeles,Online,22,Student,35,447.82,1
143.03,Debit,San Antonio,ATM,63,Retired,147,7981.45,0
245.54,Debit,New York,ATM,25,Student,180,985.06,1
254.37,Credit,Dallas,Online,51,Engineer,174,8849.26,0
213.76,Credit,Dallas,ATM,78,Retired,282,3528.72,1
327.86,Debit,Fresno,Online,40,Engineer,104,480.16,1
2.5,Debit,San Diego,Online,47,Doctor,107,12145.27,2
300.08,Credit,Austin,Online,68,Doctor,47,13546.75,2
407.65,Debit,Boston,Online,26,Engineer,62,8346.64,0
115.83,Debit,Fresno,Branch,39,Engineer,167,6481.04,0
53.57,Debit,Houston,ATM,69,Retired,121,1651.33,1
63.34,Credit,Detroit,Online,46,Doctor,165,11174.94,2
317.87,Debit,Detroit,Online,27,Student,91,145.5,1
331.65,Debit,Portland,Online,41,Engineer,61,4172.57,0
5.04,Debit,Washington,ATM,56,Retired,41,5558.36,0
214.54,Credit,Detroit,Online,70,Doctor,247,11151.53,2
598.81,Debit,Philadelphia,Branch,57,Doctor,158,1415.52,1
841.28,Debit,Tucson,Online,26,Student,80,1103.64,1
38.15,Debit,Mesa,Online,26,Student,108,303.68,1
124.72,Debit,Oklahoma City,Branch,33,Engineer,105,6309.8,0
302.45,Credit,San Antonio,Branch,78,Retired,40,5133.61,0
208.04,Debit,Louisville,Online,47,Engineer,273,9344.98,2
5.77,Credit,Los Angeles,Branch,23,Student,254,1117.97,1
381.33,Debit,Albuquerque,ATM,56,Doctor,75,11835.35,2
16.16,Debit,Milwaukee,ATM,50,Doctor,124,14401.17,2
486.08,Debit,Oklahoma City,Online,18,Student,68,1748.69,1
336.39,Debit,San Antonio,Branch,21,Student,18,1000.46,1
234.57,Debit,Chicago,Online,23,Student,120,263.98,1
6.0,Debit,Chicago,Online,30,Doctor,246,5442.76,0
227.14,Debit,Charlotte,ATM,18,Student,294,341.94,1
233.74,Credit,Oklahoma City,Online,66,Retired,17,1066.59,1
113.02,Credit,Jacksonville,Branch,69,Retired,166,6077.96,0
45.85,Debit,Los Angeles,ATM,20,Student,92,1659.15,1
415.5,Debit,Memphis,ATM,66,Doctor,141,10113.66,2
265.76,Debit,Philadelphia,Online,54,Retired,92,4446.17,0
69.4,Debit,Virginia Beach,Online,80,Retired,113,6452.77,0
332.93,Credit,Albuquerque,Branch,35,Engineer,293,2788.2,1
267.9,Debit,San Antonio,Online,20,Student,160,596.16,1
496.03,Debit,San Francisco,Branch,61,Doctor,265,12904.66,2
376.26,Debit,Tucson,ATM,37,Engineer,245,9062.4,0
83.02,Credit,Seattle,Online,36,Engineer,171,9009.56,0
93.26,Credit,New York,Online,20,Student,72,1152.2,1
803.37,Credit,Memphis,Branch,68,Doctor,129,12168.37,2
35.76,Debit,Charlotte,Branch,23,Student,122,611.86,1
28.53,Debit,Washington,Online,62,Doctor,99,8670.53,0
139.53,Credit,Louisville,Online,53,Doctor,177,10098.86,2
307.57,Debit,Detroit,Branch,33,Doctor,285,5307.74,0
60.65,Credit,Tucson,Branch,56,Retired,53,1047.28,1
74.86,Debit,Nashville,Branch,70,Doctor,125,6921.48,0
117.97,Debit,Kansas City,Branch,51,Retired,137,1475.46,1
231.91,Debit,Memphis,ATM,34,Engineer,165,112.76,1
126.21,Debit,Baltimore,Branch,75,Retired,268,5669.66,0
304.35,Debit,Houston,Branch,31,Engineer,36,4057.1,1
281.85,Debit,Detroit,ATM,22,Student,109,1585.98,1
777.88,Debit,Houston,Branch,31,Engineer,17,6825.55,0
119.18,Debit,Los Angeles,Branch,56,Retired,96,5516.5,0
177.19,Debit,Chicago,Online,76,Retired,43,5343.3,0
260.88,Debit,Denver,Branch,22,Student,36,903.05,1
169.47,Debit,Chicago,Online,24,Student,19,1806.16,1
73.23,Debit,Portland,Branch,26,Student,14,787.74,1
792.57,Debit,Baltimore,ATM,19,Student,164,770.37,1
237.06,Debit,Phoenix,Online,71,Retired,46,1182.77,1
34.17,Credit,Philadelphia,Online,54,Engineer,54,726.55,1
740.25,Debit,Philadelphia,Online,41,Doctor,123,14464.3,2
453.54,Debit,Albuquerque,ATM,58,Doctor,82,12046.3,2
300.47,Debit,Jacksonville,Branch,73,Retired,100,7885.64,0
110.93,Credit,Virginia Beach,Branch,19,Student,201,1952.35,1
201.69,Debit,Las Vegas,ATM,59,Doctor,299,7328.52,0
399.21,Debit,Portland,ATM,59,Engineer,109,3210.39,1
630.36,Debit,Mesa,ATM,62,Retired,52,1363.65,1
10.94,Credit,Philadelphia,ATM,60,Engineer,245,1241.99,1
215.9,Debit,Los Angeles,ATM,38,Doctor,235,7873.28,0
226.37,Credit,Louisville,Branch,49,Doctor,141,9840.04,2
444.89,Credit,Las Vegas,Branch,43,Doctor,101,10328.23,2
280.57,Credit,Virginia Beach,Online,25,Student,24,293.24,1
488.54,Debit,Jacksonville,Branch,52,Engineer,132,7486.63,0
3.3,Credit,Los Angeles,Branch,50,Doctor,131,11385.37,2
199.39,Debit,Colorado Springs,Branch,69,Retired,165,7264.79,0
20.36,Debit,Tucson,Branch,62,Retired,75,2762.48,1
113.64,Debit,Detroit,Online,62,Retired,32,6675.03,0
493.11,Debit,Colorado Springs,Branch,53,Retired,236,7432.99,0
307.41,Debit,Los Angeles,ATM,19,Student,14,1057.0,1
11.18,Debit,Atlanta,Online,43,Doctor,161,5956.89,0
313.82,Debit,Tucson,Branch,59,Engineer,151,7261.59,0
51.0,Debit,Seattle,Branch,64,Retired,107,4943.16,0
140.98,Debit,Memphis,Branch,60,Engineer,100,8127.48,0
288.04,Debit,Denver,ATM,68,Retired,63,1748.02,1
800.55,Debit,Oklahoma City,ATM,31,Engineer,108,9660.22,2
485.54,Debit,Houston,ATM,46,Engineer,143,6371.51,0
521.15,Debit,Kansas City,ATM,54,Doctor,214,9442.47,2
321.79,Credit,Raleigh,ATM,63,Retired,61,5959.2,0
304.93,Debit,Portland,ATM,65,Doctor,158,13531.22,2
432.08,Debit,El Paso,ATM,40,Doctor,145,11500.62,2
694.2,Debit,Milwaukee,ATM,61,Retired,72,1389.37,1
116.86,Debit,Louisville,ATM,55,Engineer,171,6706.56,0
386.81,Credit,Detroit,Online,57,Doctor,149,7175.29,0
74.88,Debit,Atlanta,ATM,25,Student,202,420.67,1
195.76,Debit,Philadelphia,Branch,75,Retired,99,7323.53,0
134.7,Debit,Fort Worth,ATM,50,Doctor,106,8395.85,0
890.24,Credit,Las Vegas,Online,33,Engineer,161,5140.93,0
361.27,Debit,Omaha,ATM,63,Doctor,180,7945.57,0
131.56,Debit,Charlotte,Branch,44,Doctor,42,5873.54,0
485.51,Credit,Milwaukee,Online,76,Retired,37,3074.45,1
547.87,Debit,Columbus,ATM,64,Retired,131,6155.76,0
457.3,Debit,Virginia Beach,Online,28,Engineer,15,8318.29,0
506.24,Debit,Chicago,ATM,58,Engineer,64,230.09,1
486.59,Debit,Indianapolis,Branch,57,Retired,119,2513.56,1
163.68,Debit,San Diego,Branch,41,Doctor,292,10090.05,2
581.65,Debit,Boston,ATM,22,Student,176,480.19,1
52.01,Debit,Mesa,ATM,48,Doctor,85,1120.88,1
630.24,Debit,Boston,ATM,21,Student,62,370.81,1
523.74,Debit,Oklahoma City,ATM,43,Doctor,159,13498.55,2
217.5,Credit,Denver,Branch,46,Engineer,35,3057.4,1
91.48,Debit,Fort Worth,ATM,51,Doctor,141,14942.78,2
5.25,Debit,San Jose,ATM,39,Doctor,49,14143.32,2
54.03,Credit,Milwaukee,ATM,56,Retired,161,6736.3,0
736.73,Debit,Memphis,Branch,48,Engineer,10,3313.07,1
368.91,Debit,Virginia Beach,Branch,54,Doctor,14,829.71,1
33.06,Credit,Fort Worth,Online,53,Retired,170,1540.87,1
66.5,Credit,Louisville,Online,32,Engineer,144,6820.23,0
177.08,Debit,Las Vegas,Online,35,Doctor,85,13475.14,2
588.54,Debit,Portland,Branch,32,Engineer,130,714.45,1
173.5,Debit,Nashville,ATM,21,Student,282,1306.91,1
78.33,Credit,Memphis,Online,56,Engineer,189,7255.33,0
40.66,Debit,Louisville,Branch,59,Retired,156,1153.84,1
97.22,Credit,Atlanta,Branch,77,Retired,55,6647.73,0
34.07,Debit,Philadelphia,Branch,22,Student,81,8709.77,0
492.06,Debit,Fresno,Online,23,Student,74,857.9,1
842.01,Credit,Virginia Beach,Online,53,Doctor,185,509.45,1
73.55,Debit,Atlanta,ATM,51,Engineer,158,2812.06,1
760.53,Debit,Phoenix,Online,57,Engineer,118,6179.91,0
273.08,Credit,Houston,Branch,26,Engineer,134,6609.3,0
371.69,Debit,San Francisco,Branch,67,Retired,143,3484.32,1
218.96,Debit,Seattle,ATM,18,Student,13,754.21,1
227.39,Debit,Atlanta,Online,18,Student,65,751.09,1
237.99,Credit,Kansas City,Branch,39,Doctor,86,8510.09,0
186.6,Debit,Washington,Online,58,Doctor,13,1508.72,1
341.15,Debit,San Jose,Online,18,Student,148,511.37,1
434.58,Debit,Memphis,ATM,59,Doctor,215,12648.32,2
312.88,Credit,Portland,Branch,54,Engineer,44,233.21,1
75.15,Debit,Boston,ATM,23,Student,154,1092.92,1
23.3,Debit,Los Angeles,ATM,59,Engineer,161,6711.15,0
47.38,Credit,Seattle,Online,25,Student,61,459.37,1
512.81,Debit,Sacramento,Branch,79,Retired,30,6994.34,0
488.15,Debit,Louisville,Branch,43,Engineer,168,7071.09,0
12.82,Debit,Fort Worth,ATM,44,Engineer,156,9045.19,0
535.91,Debit,Las Vegas,Online,43,Engineer,22,9642.12,2
270.72,Credit,Washington,Online,26,Engineer,53,6263.96,0
97.98,Debit,Denver,Branch,72,Retired,18,7460.33,0
196.08,Debit,San Francisco,Online,61,Retired,98,4233.82,0
251.18,Debit,San Jose,ATM,42,Engineer,246,8303.9,0
44.52,Debit,El Paso,Online,28,Student,205,314.28,1
178.87,Debit,Baltimore,Online,35,Doctor,180,5241.23,0
386.68,Debit,New York,Branch,46,Doctor,128,6863.06,0
167.14,Debit,Denver,Online,76,Retired,20,3877.73,1
345.22,Debit,Fresno,Branch,69,Retired,253,4046.58,1
74.85,Debit,Raleigh,ATM,72,Retired,117,2409.73,1
671.73,Debit,Washington,Branch,58,Engineer,54,5211.88,0
255.04,Debit,Seattle,ATM,45,Engineer,152,6217.86,0
45.77,Debit,Philadelphia,Online,25,Student,109,5978.12,0
329.69,Credit,San Antonio,Online,26,Student,66,1671.66,1
11.92,Debit,San Diego,Branch,53,Doctor,52,14611.9,2
47.42,Debit,San Diego,ATM,64,Doctor,28,8253.52,0
35.99,Debit,Miami,Branch,63,Retired,129,4489.79,0
151.19,Credit,New York,Branch,37,Doctor,96,11903.82,2
242.62,Credit,San Francisco,Online,22,Student,234,483.02,1
48.72,Debit,Virginia Beach,Branch,21,Student,17,816.08,1
43.46,Debit,Boston,ATM,25,Student,80,578.06,1
443.79,Debit,Las Vegas,ATM,53,Retired,87,3133.85,1
365.14,Debit,Dallas,Online,68,Retired,57,5894.09,0
757.41,Debit,Los Angeles,ATM,22,Student,37,9532.42,2
20.54,Debit,Fort Worth,Branch,51,Engineer,72,5327.03,0
475.36,Debit,Phoenix,ATM,34,Engineer,105,2000.6,1
34.74,Debit,San Francisco,ATM,56,Retired,24,6827.57,0
689.54,Debit,Oklahoma City,Branch,27,Student,93,1633.76,1
211.18,Debit,Washington,ATM,73,Retired,90,4069.17,1
211.36,Credit,Fort Worth,Branch,51,Engineer,286,7943.47,0
744.41,Credit,Houston,Online,39,Engineer,107,8842.47,0
61.43,Debit,Phoenix,Online,24,Student,170,1882.77,1
167.44,Debit,Mesa,Branch,37,Doctor,82,12526.71,2
361.46,Debit,Nashville,Online,21,Student,83,4737.84,0
378.85,Debit,Virginia Beach,Branch,78,Retired,126,2300.53,1
241.11,Debit,Columbus,Branch,30,Doctor,55,12385.05,2
131.93,Credit,Fort Worth,Branch,31,Engineer,13,4547.06,0
20.28,Debit,Oklahoma City,Online,36,Engineer,213,2047.83,1
415.88,Debit,San Diego,Branch,70,Doctor,170,10008.33,2
49.99,Debit,Omaha,ATM,62,Retired,139,2299.64,1
100.66,Debit,Dallas,Branch,50,Doctor,144,14473.33,2
485.54,Debit,Louisville,Online,19,Student,148,1533.32,1
321.15,Debit,Los Angeles,Branch,46,Doctor,179,7005.05,0
711.3,Debit,San Jose,Branch,21,Student,51,955.4,1
12.23,Debit,Houston,ATM,42,Engineer,139,7844.88,0
350.94,Debit,Colorado Springs,ATM,20,Student,64,221.56,1
301.85,Debit,Columbus,Online,54,Engineer,25,6586.19,0
29.34,Debit,Louisville,Online,65,Retired,30,3944.82,1
231.71,Debit,Raleigh,Branch,27,Student,148,1127.98,1
179.43,Debit,Oklahoma City,ATM,58,Retired,244,2626.63,1
36.71,Debit,Jacksonville,Branch,48,Doctor,55,6459.38,0
138.12,Credit,Los Angeles,Branch,53,Doctor,281,1649.69,1
233.24,Debit,Louisville,ATM,33,Engineer,72,6939.23,0
609.14,Debit,Tucson,ATM,39,Engineer,177,9033.87,0
436.64,Debit,Los Angeles,Branch,31,Doctor,111,14365.18,2
870.43,Debit,Los Angeles,Branch,29,Doctor,55,10115.18,2
354.4,Debit,Chicago,ATM,74,Retired,128,7358.65,0
22.63,Debit,Kansas City,Online,53,Engineer,112,4438.03,0
182.19,Debit,Mesa,Branch,26,Student,53,1176.1,1
126.81,Debit,Philadelphia,Branch,26,Engineer,290,5427.98,0
288.17,Debit,Virginia Beach,Online,37,Engineer,50,3653.11,1
118.77,Debit,Atlanta,Branch,55,Engineer,123,2104.82,1
651.82,Debit,Indianapolis,ATM,21,Student,166,1802.77,1
66.65,Debit,Detroit,ATM,37,Engineer,33,3559.96,1
98.53,Debit,Denver,Branch,69,Retired,166,3564.8,1
138.95,Debit,Washington,Online,71,Retired,30,6752.92,0
33.89,Debit,Nashville,Branch,26,Student,177,1444.75,1
23.71,Debit,Atlanta,Branch,58,Doctor,164,10788.89,2
26.06,Debit,San Diego,ATM,65,Doctor,283,12893.63,2
17.07,Debit,Los Angeles,Branch,27,Engineer,44,2798.15,1
703.89,Debit,San Antonio,Online,46,Engineer,62,3583.67,1
26.55,Debit,Houston,ATM,77,Retired,228,3085.38,1
147.4,Debit,San Jose,Branch,42,Engineer,259,6797.71,0
202.11,Debit,Memphis,ATM,27,Student,18,746.47,1
308.42,Debit,Nashville,Branch,75,Retired,39,5427.81,0
11.18,Debit,Miami,ATM,53,Engineer,144,7467.3,0
294.15,Debit,Fresno,Online,38,Engineer,136,6362.16,0
29.58,Debit,Colorado Springs,Branch,54,Engineer,121,8345.26,0
139.45,Debit,Boston,Online,27,Student,31,1305.76,1
432.63,Debit,Colorado Springs,ATM,29,Doctor,137,13648.36,2
131.43,Debit,Charlotte,Online,43,Doctor,65,1337.5,1
516.72,Debit,Mesa,ATM,42,Engineer,128,2015.69,1
374.5,Credit,San Francisco,Branch,26,Student,178,1671.51,1
166.13,Debit,Omaha,ATM,68,Doctor,227,11822.53,2
626.9,Debit,Chicago,ATM,23,Student,146,587.11,1
466.85,Debit,Austin,Branch,56,Retired,165,5422.53,0
788.84,Debit,Phoenix,Online,58,Retired,231,1913.73,1
873.65,Credit,Oklahoma City,Online,37,Doctor,59,12139.83,2
525.28,Debit,Colorado Springs,ATM,69,Retired,134,4693.6,0
110.17,Debit,Raleigh,ATM,30,Engineer,137,464.2,1
632.69,Debit,Denver,ATM,80,Retired,76,4363.74,0
124.35,Debit,Oklahoma City,ATM,72,Retired,90,3319.76,1
43.85,Debit,Fresno,ATM,62,Retired,122,4356.98,0
283.81,Debit,San Diego,Branch,28,Student,29,1519.35,1
168.53,Debit,San Francisco,ATM,71,Retired,112,5962.58,0
218.59,Credit,Denver,Branch,40,Engineer,123,6699.23,0
132.84,Debit,Oklahoma City,ATM,21,Student,143,822.73,1
157.37,Credit,Dallas,Branch,42,Doctor,289,13964.31,2
144.77,Debit,Albuquerque,Online,20,Student,159,867.32,1
643.22,Debit,Atlanta,ATM,64,Doctor,93,1035.86,1
208.07,Debit,Oklahoma City,Online,32,Doctor,36,8478.9,0
94.3,Debit,Phoenix,Branch,57,Doctor,57,11088.95,2
295.5,Debit,Mesa,ATM,59,Retired,36,6280.66,0
30.23,Debit,Austin,ATM,44,Doctor,99,481.13,1
112.05,Credit,Phoenix,ATM,26,Student,159,1122.88,1
180.24,Debit,Phoenix,Branch,58,Engineer,144,8431.23,0
13.71,Credit,Denver,Online,38,Engineer,148,8342.79,0
96.54,Debit,New York,Branch,58,Retired,95,7182.22,0
79.35,Debit,Los Angeles,Online,67,Retired,70,1692.15,1
101.04,Debit,San Antonio,ATM,27,Student,160,1695.57,1
74.42,Debit,El Paso,Online,49,Engineer,68,6264.21,0
39.66,Debit,Virginia Beach,Branch,52,Engineer,169,8497.34,0
99.36,Debit,Seattle,ATM,40,Doctor,46,1272.12,1
123.85,Debit,Las Vegas,Online,56,Engineer,244,3959.62,1
426.93,Debit,Omaha,ATM,19,Student,248,476.19,1
133.73,Credit,San Jose,Online,25,Student,123,1872.22,1
222.39,Debit,Virginia Beach,Online,49,Engineer,73,3117.39,1
215.94,Credit,Virginia Beach,Online,22,Student,140,1841.69,1
826.23,Debit,Colorado Springs,ATM,29,Doctor,209,7580.59,0
416.37,Debit,Columbus,Online,35,Engineer,67,7936.91,0
131.46,Debit,Charlotte,Branch,67,Retired,258,6642.33,0
202.86,Credit,Memphis,Branch,61,Doctor,149,7642.25,0
268.39,Debit,Miami,ATM,26,Student,171,136.74,1
137.35,Credit,Sacramento,Online,40,Doctor,220,12662.66,2
712.75,Debit,Philadelphia,Branch,44,Doctor,25,8126.06,0
353.82,Debit,Milwaukee,ATM,42,Doctor,143,705.75,1
507.25,Debit,Washington,Branch,73,Retired,143,5331.57,0
212.74,Debit,Seattle,Branch,27,Engineer,128,7645.47,0
364.42,Debit,Colorado Springs,ATM,51,Engineer,146,8119.73,0
195.12,Debit,Louisville,ATM,46,Doctor,144,6101.15,0
230.61,Debit,Raleigh,Branch,80,Retired,204,2561.42,1
739.28,Credit,Tucson,Branch,58,Doctor,47,11905.64,2
390.35,Credit,Omaha,ATM,64,Doctor,61,7095.88,0
242.03,Debit,Dallas,Online,58,Engineer,124,4382.73,0
242.39,Credit,San Antonio,ATM,18,Student,271,1328.73,1
135.03,Debit,San Francisco,ATM,23,Student,180,1278.0,1
193.54,Debit,Oklahoma City,Branch,80,Retired,267,2929.51,1
617.36,Debit,Kansas City,Branch,29,Engineer,61,8926.38,0
775.23,Credit,Albuquerque,Online,59,Doctor,38,5977.59,0
266.57,Debit,El Paso,ATM,72,Retired,100,7676.92,0
153.4,Debit,Mesa,ATM,45,Engineer,144,4657.7,0
5.12,Debit,New York,Branch,34,Engineer,90,3293.01,1
119.11,Debit,Detroit,ATM,57,Engineer,131,7998.25,0
119.72,Debit,Tucson,Branch,30,Engineer,123,3435.34,1
107.4,Debit,Virginia Beach,Online,58,Doctor,32,344.07,1
115.92,Debit,Raleigh,ATM,53,Retired,57,3897.17,1
438.04,Debit,Philadelphia,ATM,67,Retired,247,5358.95,0
677.29,Debit,Houston,Online,27,Engineer,287,627.79,1
296.0,Debit,Las Vegas,Branch,35,Doctor,248,7418.82,0
299.09,Credit,Boston,Branch,36,Engineer,84,5615.26,0
461.52,Credit,Denver,Branch,24,Student,44,1995.18,1
100.52,Debit,Las Vegas,ATM,50,Engineer,110,453.39,1
85.35,Debit,Washington,ATM,66,Retired,166,2173.76,1
79.76,Debit,Raleigh,Branch,39,Engineer,170,6452.14,0
778.49,Credit,Omaha,Online,75,Retired,107,7713.67,0
386.38,Debit,Phoenix,Online,42,Engineer,135,5528.36,0
165.25,Debit,Sacramento,Online,35,Doctor,106,9939.94,2
14.29,Debit,Los Angeles,ATM,34,Engineer,150,7016.99,0
232.79,Credit,Indianapolis,Branch,55,Retired,145,2661.3,1
92.29,Debit,Albuquerque,Branch,54,Engineer,115,2026.32,1
293.97,Debit,Phoenix,Branch,68,Retired,153,7371.85,0
136.32,Debit,Miami,Online,19,Student,113,264.83,1
251.06,Debit,Colorado Springs,Online,36,Doctor,34,10001.66,2
50.17,Credit,Sacramento,ATM,77,Retired,35,7752.14,0
21.4,Debit,Fresno,Branch,34,Engineer,258,9594.11,2
73.28,Debit,Boston,Branch,21,Student,21,1329.41,1
70.23,Debit,Memphis,ATM,38,Doctor,260,11624.93,2
689.29,Debit,El Paso,ATM,22,Student,100,168.84,1
745.03,Debit,Fort Worth,Online,28,Student,231,160.57,1
54.61,Debit,Milwaukee,ATM,58,Engineer,160,7135.64,0
54.05,Debit,Louisville,Branch,27,Student,146,469.14,1
107.47,Debit,Austin,Online,67,Retired,144,7517.5,0
219.63,Debit,Charlotte,ATM,48,Doctor,44,8013.63,0
188.7,Debit,New York,Branch,54,Retired,123,5077.06,0
93.52,Debit,Philadelphia,Online,51,Engineer,97,2791.2,1
275.92,Credit,Nashville,Branch,62,Retired,107,1777.38,1
376.79,Debit,Milwaukee,Branch,68,Retired,265,7749.14,0
8.98,Debit,Detroit,Online,66,Retired,56,4516.76,0
697.32,Debit,Atlanta,Online,68,Retired,91,2016.02,1
17.45,Debit,Omaha,ATM,18,Student,88,1959.52,1
442.74,Debit,San Diego,Branch,23,Student,136,1790.27,1
