X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
18.63,18.32,19.74,18.05,18.78,60.08,25.86,15.08,32.91,189.82,244.39
17.53,12.82,16.36,22.12,18.19,53.89,20.07,14.0,25.37,175.13,233.19
23.05,13.79,21.35,15.64,19.0,49.19,18.89,18.21,34.32,160.78,255.58
20.77,17.73,22.89,20.86,17.02,41.89,13.88,15.76,29.01,135.97,261.47
18.61,18.68,26.62,14.36,18.58,55.92,21.97,15.03,32.78,179.2,268.06
29.19,9.75,19.42,12.96,15.01,46.15,16.81,22.84,36.71,145.46,284.48
19.34,20.2,16.23,16.23,21.6,45.22,18.46,12.95,30.82,150.02,253.53
21.87,26.3,14.74,15.48,23.38,41.76,15.44,17.05,34.37,137.62,255.83
21.08,16.01,21.67,21.84,24.87,52.88,23.43,16.47,30.97,170.79,280.71
18.72,19.03,21.71,21.82,18.91,49.47,19.9,14.63,35.88,159.59,263.98
15.41,18.62,26.83,19.81,19.52,43.63,21.82,11.65,25.38,144.84,251.47
26.81,21.42,21.43,11.34,19.96,48.86,17.53,21.72,34.98,155.23,281.74
17.11,17.61,14.79,20.42,16.52,56.77,25.21,12.68,23.63,178.94,229.66
24.37,16.85,16.61,16.02,25.48,54.14,16.21,19.92,34.35,174.18,277.95
19.08,16.5,20.58,14.87,19.63,53.36,23.61,15.72,25.42,170.52,257.23
19.96,15.38,23.23,12.24,20.14,50.09,17.46,16.75,33.41,158.18,232.88
17.83,21.5,24.23,20.51,19.29,43.44,18.2,13.47,19.03,140.45,256.44
23.01,16.59,22.23,15.35,20.74,48.46,26.57,18.15,34.47,153.53,266.75
13.56,16.33,19.38,18.91,17.93,42.98,14.25,10.83,24.42,140.91,214.3
27.77,15.81,18.19,14.98,22.45,43.85,18.77,22.77,38.43,138.2,279.7
14.21,18.7,17.95,21.97,19.2,52.05,19.49,10.42,26.6,168.68,238.48
20.52,19.88,19.55,22.43,16.38,47.92,24.93,16.17,24.38,151.97,258.53
23.8,14.17,18.4,14.83,20.7,49.03,22.12,18.62,37.68,159.9,251.52
11.94,24.2,16.61,19.52,21.76,54.6,22.38,9.55,24.69,175.73,244.86
19.68,21.43,26.53,20.56,22.58,44.13,12.55,16.22,28.9,142.66,281.64
21.2,18.02,21.09,8.64,21.59,46.59,16.97,17.85,30.2,150.53,253.39
13.26,24.43,24.67,27.16,19.72,52.16,25.66,9.29,22.99,166.81,259.91
20.89,26.59,13.95,20.56,19.98,51.38,19.46,16.45,28.99,165.92,255.51
17.26,16.66,16.21,23.16,21.44,49.86,16.94,14.33,23.35,157.5,222.56
19.5,24.61,25.53,17.34,22.38,48.89,15.19,15.67,38.26,152.33,302.19
27.96,17.7,24.7,12.04,21.2,42.53,20.11,21.49,35.95,137.47,273.34
22.09,16.69,21.25,20.4,18.3,54.02,26.22,17.16,27.9,172.56,260.42
19.93,17.02,19.02,18.83,19.08,54.87,21.28,16.58,30.34,175.21,263.11
18.34,29.22,15.13,23.28,19.78,49.59,20.5,14.21,33.47,161.08,262.31
14.57,19.51,22.69,16.49,17.45,40.68,12.07,12.17,27.66,132.01,219.48
17.94,19.49,21.86,17.46,17.81,52.07,19.39,14.15,28.45,160.56,244.5
19.14,17.27,25.01,15.97,19.33,46.86,13.51,15.85,27.48,149.69,262.25
21.69,18.49,18.72,20.35,17.11,50.43,17.32,17.44,31.82,159.0,253.91
15.62,16.75,22.72,25.94,16.25,55.5,24.24,12.41,23.44,174.7,234.35
24.95,12.51,17.42,18.83,17.59,53.82,22.87,20.05,32.53,174.79,257.72
19.08,21.45,29.09,20.84,13.47,42.41,18.19,14.94,31.68,139.34,257.05
17.18,11.0,23.02,22.11,12.8,44.74,16.25,13.26,27.18,144.19,215.11
17.63,22.05,20.28,23.87,15.46,49.06,19.81,14.41,25.59,157.04,248.61
22.95,19.2,25.49,17.33,13.38,48.35,24.07,17.88,40.27,156.52,285.65
21.74,13.25,21.12,20.94,19.26,51.33,23.99,17.82,35.02,164.22,248.67
27.1,19.65,19.17,16.93,19.97,48.6,19.49,21.24,38.93,152.93,289.34
22.05,18.54,23.29,17.5,21.06,54.65,16.85,17.4,27.0,172.56,284.76
24.68,13.44,25.91,12.1,21.03,44.95,14.51,20.19,29.35,145.79,272.09
28.31,19.14,20.06,21.56,20.91,51.84,20.34,23.23,36.53,165.07,304.15
18.18,25.47,22.81,23.83,21.37,43.21,14.15,15.09,28.75,141.92,256.37
22.6,14.5,24.77,15.8,20.07,58.3,23.1,17.67,29.95,187.08,258.05
19.3,23.85,22.1,24.06,19.67,51.63,20.22,14.62,30.16,166.38,271.97
24.07,29.87,15.66,21.37,19.71,58.65,29.15,18.98,36.89,185.32,304.26
17.6,21.15,17.4,13.64,16.01,53.23,22.47,14.2,24.64,169.16,241.6
26.3,19.2,19.61,23.65,18.31,43.01,15.67,20.56,34.59,136.25,263.12
22.42,16.32,20.17,23.52,20.28,49.53,20.25,17.38,28.11,161.44,279.87
16.37,17.85,16.62,24.78,23.98,46.94,23.91,13.43,23.46,152.6,237.25
22.37,26.82,21.88,17.54,25.33,46.06,12.03,17.47,34.58,149.22,300.28
18.25,20.26,23.63,23.08,13.31,47.82,19.02,14.48,36.46,155.44,255.52
20.41,14.79,21.51,12.5,14.73,50.85,21.43,16.68,31.68,162.02,243.69
25.23,20.81,17.91,19.24,22.39,51.67,18.84,20.37,40.17,165.17,292.71
25.55,18.87,23.75,21.95,22.77,46.21,21.31,20.34,35.74,150.35,308.17
13.06,17.91,22.62,24.83,20.33,47.27,11.79,10.42,19.18,148.07,241.74
21.15,23.79,22.12,23.77,23.76,52.2,19.2,17.63,34.29,171.87,288.85
18.64,13.43,19.42,10.33,22.03,39.25,20.15,15.88,24.76,126.74,209.85
22.11,21.77,31.39,25.36,30.45,45.95,13.65,19.0,36.48,148.62,316.33
18.5,17.09,21.0,21.4,24.26,39.67,15.38,16.18,28.38,132.21,256.02
21.91,23.91,17.7,22.08,19.33,54.8,24.35,17.72,31.12,176.49,265.15
14.28,22.52,22.7,23.25,16.59,48.32,21.91,10.3,23.19,158.14,239.11
21.63,25.09,12.83,21.51,24.33,46.67,19.01,18.02,34.98,148.55,286.95
16.69,27.76,16.7,24.14,23.69,46.88,17.6,13.1,22.69,156.11,263.65
21.69,17.43,22.13,18.96,20.56,51.08,22.71,17.47,32.36,163.37,280.86
19.36,17.44,23.85,15.33,21.11,46.28,24.76,15.99,31.28,151.76,265.76
24.96,15.7,16.91,17.97,18.71,55.57,20.36,19.7,37.42,179.4,258.96
26.65,18.75,15.16,23.37,19.6,56.58,27.02,20.37,39.58,179.35,302.86
17.35,19.15,15.59,20.94,23.11,49.4,20.24,13.7,26.75,156.13,236.28
33.86,18.38,25.3,17.35,22.17,43.82,13.92,27.05,43.56,139.7,336.54
21.57,15.5,24.96,18.78,23.03,46.37,16.21,16.2,29.37,148.63,267.99
21.31,11.91,22.88,22.99,20.68,42.39,18.17,17.41,29.06,135.57,261.39
18.75,25.21,26.61,24.09,14.6,44.93,14.65,14.8,33.1,141.83,273.86
14.3,13.68,19.36,16.86,20.28,49.76,18.31,13.06,26.89,156.38,218.01
17.5,18.86,20.73,26.19,26.85,48.53,21.66,14.69,23.25,153.97,261.05
19.56,29.25,21.9,17.76,27.67,47.84,19.29,16.69,24.65,156.16,292.0
23.81,24.0,18.32,18.7,21.05,53.7,19.97,19.35,32.73,172.37,276.24
16.07,24.26,20.43,13.82,22.83,49.5,16.12,12.82,18.81,160.33,246.58
15.62,15.98,18.93,17.48,16.92,55.85,19.24,13.04,24.73,181.99,232.76
19.03,16.18,20.73,21.03,24.06,46.99,18.42,14.53,26.57,149.06,243.5
17.62,20.05,25.08,20.6,16.01,52.82,19.58,14.65,28.85,170.08,252.29
16.07,25.95,18.97,11.24,23.08,48.22,24.75,13.26,24.56,156.91,245.06
20.35,15.44,13.18,20.69,10.25,53.67,24.74,16.53,30.17,174.11,226.16
17.59,18.4,18.89,13.77,23.81,59.28,29.7,13.1,23.34,187.15,246.26
24.5,12.36,17.68,18.67,11.48,45.15,17.71,20.29,28.0,145.13,247.49
23.71,20.13,19.15,15.42,21.05,49.91,17.18,19.94,34.75,161.51,265.48
10.92,22.36,18.9,13.86,25.1,45.77,22.34,8.81,13.27,150.15,209.99
18.61,23.04,30.28,24.52,22.84,54.29,21.03,14.99,33.0,177.5,298.85
19.34,19.64,19.95,20.26,10.29,43.92,12.67,15.62,35.08,139.61,263.96
24.87,18.15,19.76,26.21,21.24,54.75,18.45,19.99,34.07,176.55,287.51
17.49,18.15,14.32,18.78,17.78,48.25,17.5,14.76,25.95,154.73,231.32
18.9,25.5,20.76,24.3,23.99,54.67,26.89,15.02,31.59,175.94,292.34
24.59,20.54,21.07,25.8,25.64,47.45,18.31,19.49,32.46,150.78,302.68
24.64,22.27,16.34,23.25,17.13,57.49,25.19,19.4,31.08,183.28,289.32
22.81,20.71,18.99,18.47,15.85,54.35,25.73,18.14,36.3,171.88,288.27
14.86,22.02,25.51,14.92,24.78,52.07,29.28,11.16,24.16,161.43,241.65
26.09,18.32,14.61,26.05,21.39,53.72,19.57,21.92,36.14,171.5,288.18
19.28,25.49,21.18,18.91,18.28,49.91,16.27,14.98,32.72,162.43,271.62
18.5,30.26,12.67,19.0,25.65,42.6,17.7,15.17,28.5,135.18,273.06
21.84,23.2,19.63,21.19,20.98,53.78,25.14,17.12,31.93,172.22,268.94
25.82,25.21,18.03,25.35,13.29,46.4,11.14,20.55,32.32,152.06,300.41
20.97,15.39,19.19,21.82,20.73,53.22,26.15,16.02,30.77,167.02,247.0
19.85,17.52,19.68,24.29,22.26,43.91,23.53,15.01,30.78,146.27,251.28
23.33,14.36,20.12,20.81,19.72,48.03,16.35,18.54,34.74,152.3,276.28
29.2,11.5,12.47,23.48,17.2,49.97,20.83,23.58,35.76,156.54,294.15
16.24,20.81,27.26,19.04,16.82,48.95,19.3,11.93,24.91,159.5,255.66
20.45,15.45,21.84,22.34,23.21,53.9,25.02,16.24,30.2,172.62,260.93
30.16,16.39,15.74,15.44,20.15,51.06,20.99,23.44,41.17,159.92,283.53
21.61,18.81,19.88,16.24,23.69,48.5,20.62,16.5,34.05,157.59,257.86
12.46,13.78,18.8,23.96,25.28,36.55,16.86,9.51,25.04,121.33,188.33
25.11,19.72,21.35,23.3,19.06,60.67,23.63,18.53,38.11,195.28,298.06
18.22,24.22,23.44,23.16,27.78,50.02,18.25,14.68,30.68,159.79,266.81
14.92,20.12,24.11,18.88,19.51,61.93,22.75,11.47,22.81,195.9,248.59
22.54,18.35,26.73,17.55,21.99,43.22,14.74,17.43,33.88,138.79,275.89
18.81,13.33,22.19,23.5,15.72,39.29,21.43,14.54,27.86,126.94,225.17
18.39,17.42,25.99,21.88,30.95,44.81,17.12,14.58,28.25,145.48,260.89
17.85,20.58,23.0,24.44,20.24,33.24,13.89,13.86,21.55,110.46,253.87
23.29,21.37,19.11,16.97,18.07,47.81,19.19,18.65,36.15,156.53,273.33
20.1,18.5,21.16,20.96,20.62,47.88,13.38,15.25,33.69,153.61,264.19
26.07,16.43,25.17,17.96,22.65,63.18,20.01,21.43,42.19,200.87,297.06
21.48,25.19,22.61,18.81,19.56,54.57,22.46,17.99,32.25,177.47,282.33
18.08,20.77,21.86,16.01,18.12,48.21,18.12,14.25,20.97,153.47,261.47
24.17,25.8,20.75,21.52,16.55,42.77,23.63,19.71,35.28,136.76,301.47
24.4,17.94,19.83,21.09,18.4,47.85,16.29,19.54,39.26,150.08,268.39
11.47,22.73,22.74,10.8,24.87,55.24,25.91,9.07,22.14,176.19,221.24
23.04,14.51,15.53,22.84,20.28,44.18,22.43,18.57,35.71,142.59,265.65
18.86,19.5,23.11,17.12,21.04,44.25,20.45,14.66,31.27,144.1,255.3
21.92,21.58,19.65,25.5,21.68,56.74,20.22,17.43,30.28,180.46,281.81
21.87,29.82,17.25,14.61,16.8,54.22,17.3,17.76,32.18,174.69,268.59
30.84,28.37,17.99,14.71,21.04,56.75,18.83,24.37,37.99,180.93,342.55
28.08,24.29,20.29,25.71,22.57,50.47,24.02,22.31,40.0,165.23,315.89
22.99,20.71,20.18,16.93,27.97,40.35,18.28,18.03,33.53,131.42,289.18
17.64,15.7,19.06,16.58,21.71,51.09,27.6,14.75,30.82,164.33,243.03
16.75,19.76,22.05,15.13,18.58,51.19,24.3,12.76,29.0,165.1,227.06
19.29,19.39,25.37,15.1,16.9,49.02,18.25,13.98,24.22,157.01,258.89
22.03,22.65,21.94,19.58,13.45,49.27,22.74,17.61,33.01,158.52,275.3
18.93,27.61,18.65,11.02,18.16,56.37,26.38,15.35,28.53,181.9,283.52
16.58,26.08,19.41,19.52,14.45,54.29,23.01,12.79,20.75,171.02,261.83
26.24,19.99,16.17,15.62,19.55,55.25,22.84,20.23,35.46,180.03,296.86
15.63,23.59,24.93,22.98,24.38,50.57,14.42,12.62,25.27,164.57,261.19
23.03,22.6,23.19,19.32,23.94,46.85,17.8,18.35,33.97,148.93,283.24
15.2,18.91,20.5,22.02,14.14,51.84,20.49,12.25,20.5,162.98,224.39
20.71,21.85,23.81,21.42,20.96,56.25,18.96,16.5,29.83,179.43,274.54
16.5,23.78,23.33,26.7,20.28,54.89,29.97,13.56,25.13,173.36,279.48
20.47,18.92,18.19,14.68,19.61,41.94,10.15,16.45,37.71,133.69,205.39
16.17,10.5,22.64,14.8,18.39,55.46,21.09,11.85,29.39,179.62,237.11
12.48,22.74,21.03,13.18,21.18,46.66,14.14,10.21,20.19,154.21,214.46
20.73,17.99,20.47,23.98,17.44,50.37,19.18,16.28,37.83,160.13,260.62
17.81,17.9,15.19,19.93,23.25,46.65,19.74,14.35,26.01,152.86,239.44
19.79,17.87,13.35,20.66,24.59,51.62,16.02,15.84,28.6,164.13,245.02
32.69,19.93,25.38,21.99,17.57,56.73,17.84,24.59,42.15,180.04,321.53
33.34,19.51,22.67,22.22,12.31,46.78,15.14,25.86,42.64,146.87,322.07
26.41,25.92,24.12,20.61,25.86,51.69,20.51,21.29,37.88,167.96,325.53
24.05,20.77,20.38,18.21,24.56,44.4,11.77,18.74,33.11,138.68,298.11
27.38,24.05,22.98,21.76,18.19,41.37,19.46,22.23,33.02,134.83,305.13
18.66,24.66,13.76,27.11,18.87,54.51,19.9,14.58,30.14,175.52,258.4
22.0,22.23,24.35,19.85,22.63,44.48,11.39,16.67,25.68,142.66,304.62
15.69,22.83,18.5,20.45,17.21,49.98,22.09,11.99,28.42,159.86,241.67
22.31,19.26,20.45,20.16,13.55,49.23,15.34,18.12,32.75,159.17,252.72
20.35,16.47,20.28,22.71,27.53,43.79,11.71,16.6,34.78,139.67,258.86
21.54,16.73,18.37,22.26,15.82,49.27,27.8,17.01,34.6,158.81,255.04
25.34,24.76,15.54,18.1,22.92,50.26,16.43,20.76,37.38,158.1,292.48
26.69,19.27,25.42,16.0,16.44,53.27,22.51,21.22,32.57,169.43,310.76
18.75,15.63,16.94,23.97,16.29,52.68,26.82,15.02,28.52,169.5,235.08
